                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.46468,                0.41534,                 1.7916,                0.78345,                0.29237,                0.85901,                0.47376,                0.41831,                0.29237,                0.85901,                0.47376,                0.41584,                 0.4233,                      0,                 3.6148,                 0.5192,             0.00070655,             0.00070655,             0.00070655
                     25,                0.45093,                0.38789,                 1.7861,                0.79125,                0.31819,                0.72384,                0.47441,                0.42188,                0.31819,                0.72384,                0.47441,                0.40958,                 0.4165,                      0,                 3.7037,                0.51975,             0.00070105,             0.00070105,             0.00070105
                     26,                0.46107,                0.41828,                 1.7874,                0.78934,                0.30318,                0.80631,                0.49108,                0.42967,                0.30318,                0.80631,                0.49108,                0.43304,                0.42046,                      0,                 3.5084,                 0.5195,             0.00069556,             0.00069556,             0.00069556
                     27,                0.43777,                0.43493,                 1.7753,                0.78838,                0.29916,                0.83058,                0.46383,                0.41337,                0.29916,                0.83058,                0.46383,                 0.3986,                0.42208,                      0,                 3.5187,                0.51984,             0.00069006,             0.00069006,             0.00069006
                     28,                0.43846,                0.40743,                 1.7514,                 0.7864,                0.29037,                0.78479,                0.42551,                0.37305,                0.29037,                0.78479,                0.42551,                0.36689,                0.42333,                      0,                 3.5968,                0.52002,             0.00068456,             0.00068456,             0.00068456
                     29,                0.43061,                0.40269,                 1.7416,                0.78687,                 0.2797,                 0.7754,                0.41408,                0.36683,                 0.2797,                 0.7754,                0.41408,                0.35527,                0.42575,                      0,                 3.6055,                0.51961,             0.00067906,             0.00067906,             0.00067906
                     30,                0.48573,                0.49656,                  1.767,                 0.7856,                0.32396,                0.77481,                0.46938,                0.40772,                0.32396,                0.77481,                0.46938,                0.40246,                0.42993,                      0,                 3.5445,                0.52134,             0.00067356,             0.00067356,             0.00067356
                     31,                0.49395,                0.42558,                 1.7582,                0.79677,                0.33112,                0.79811,                0.49269,                0.43634,                0.33112,                0.79811,                0.49269,                0.42608,                 0.4566,                      0,                 3.5302,                0.52528,             0.00066807,             0.00066807,             0.00066807
                     32,                0.46891,                0.43158,                 1.7321,                0.78915,                0.32092,                0.79638,                0.51111,                0.45609,                0.32092,                0.79638,                0.51111,                0.44096,                0.43802,                      0,                 3.5452,                0.52071,             0.00066257,             0.00066257,             0.00066257
                     33,                0.46946,                0.40238,                 1.6616,                0.78754,                0.32212,                0.80682,                0.53221,                0.47921,                0.32212,                0.80682,                0.53221,                0.45985,                  0.424,                      0,                 3.4794,                0.52063,             0.00065707,             0.00065707,             0.00065707
                     34,                0.43618,                0.38176,                 1.6819,                0.78627,                0.35869,                0.85455,                0.54231,                0.48153,                0.35869,                0.85455,                0.54231,                 0.4755,                  0.437,                      0,                 3.3245,                0.51887,             0.00065157,             0.00065157,             0.00065157
                     35,                0.43047,                0.40913,                 1.6631,                0.78689,                0.35968,                0.81174,                0.56436,                0.50637,                0.35968,                0.81174,                0.56436,                0.48467,                0.38753,                      0,                 3.3661,                0.51906,             0.00064607,             0.00064607,             0.00064607
                     36,                0.42074,                0.40786,                 1.6893,                0.78061,                0.37073,                0.90909,                  0.576,                0.51055,                0.37073,                0.90909,                  0.576,                0.49967,                0.39911,                      0,                 3.3748,                 0.5188,             0.00064058,             0.00064058,             0.00064058
                     37,                0.39766,                 0.4072,                  1.671,                0.78742,                0.37476,                0.89628,                 0.5672,                0.51612,                0.37476,                0.89628,                 0.5672,                0.48489,                0.36978,                      0,                 3.3566,                0.51728,             0.00063508,             0.00063508,             0.00063508
                     38,                0.43041,                0.43214,                 1.6189,                0.78941,                 0.3524,                0.94053,                 0.5581,                0.50594,                 0.3524,                0.94053,                 0.5581,                0.48007,                0.40472,                      0,                 3.4335,                0.51834,             0.00062958,             0.00062958,             0.00062958
                     39,                0.41188,                0.39557,                 1.6062,                0.77682,                0.39094,                0.87449,                0.62725,                0.56328,                0.39094,                0.87449,                0.62725,                0.53483,                0.39443,                      0,                 3.2743,                0.51696,             0.00062408,             0.00062408,             0.00062408
                     40,                 0.4054,                0.39976,                 1.5779,                0.78414,                0.37831,                0.89224,                0.60481,                0.55246,                0.37831,                0.89224,                0.60481,                0.52932,                0.39146,                      0,                 3.2639,                 0.5172,             0.00061859,             0.00061859,             0.00061859
                     41,                0.41566,                0.39255,                 1.6582,                 0.7882,                0.37467,                0.80278,                 0.5801,                0.52783,                0.37467,                0.80278,                 0.5801,                0.49918,                0.38504,                      0,                 3.3713,                0.51916,             0.00061309,             0.00061309,             0.00061309
                     42,                0.41522,                0.39647,                 1.5775,                0.78377,                0.42197,                 0.8782,                0.61985,                0.54534,                0.42197,                 0.8782,                0.61985,                0.53834,                0.39753,                      0,                 3.2412,                0.51899,             0.00060759,             0.00060759,             0.00060759
                     43,                0.42358,                0.41483,                 1.5945,                0.78073,                0.38449,                0.94207,                0.61622,                0.54938,                0.38449,                0.94207,                0.61622,                0.52898,                 0.3798,                      0,                 3.2125,                0.51842,             0.00060209,             0.00060209,             0.00060209
                     44,                0.41359,                0.39595,                 1.5924,                0.78535,                 0.3786,                0.96326,                0.59875,                0.53824,                 0.3786,                0.96326,                0.59875,                0.51518,                  0.371,                      0,                  3.283,                0.51814,             0.00059659,             0.00059659,             0.00059659
                     45,                 0.3995,                0.38852,                 1.6159,                0.78048,                0.38538,                0.93898,                0.60932,                0.55125,                0.38538,                0.93898,                0.60932,                0.52756,                0.36367,                      0,                 3.2395,                0.51763,              0.0005911,              0.0005911,              0.0005911
                     46,                0.40897,                 0.4019,                 1.5811,                0.78763,                0.35503,                0.88783,                0.56786,                0.52104,                0.35503,                0.88783,                0.56786,                0.49047,                0.35388,                      0,                  3.265,                0.51734,              0.0005856,              0.0005856,              0.0005856
                     47,                0.41051,                 0.4041,                 1.5507,                0.78092,                0.44587,                0.79483,                0.58757,                0.53185,                0.44587,                0.79483,                0.58757,                0.49487,                0.37098,                      0,                 3.2414,                0.51694,              0.0005801,              0.0005801,              0.0005801
                     48,                0.41448,                0.38561,                 1.5422,                0.78318,                0.43512,                0.88966,                0.60178,                0.54987,                0.43512,                0.88966,                0.60178,                0.51419,                0.36073,                      0,                 3.1712,                0.51773,              0.0005746,              0.0005746,              0.0005746
                     49,                0.40334,                0.39399,                 1.5681,                0.78298,                0.45213,                0.91685,                0.62868,                0.57589,                0.45213,                0.91685,                0.62868,                0.54116,                0.34986,                      0,                 3.1204,                0.51711,             0.00056911,             0.00056911,             0.00056911
